"","lhs","","rhs","support","confidence","lift","count"
"[1]","{X}","=>","{z}",0.0246545052515202,0.628169014084507,2.96854165746832,223
"[2]","{newmail}","=>","{m}",0.0112769485903814,0.755555555555556,8.5211970074813,102
"[3]","{volcheck}","=>","{cd}",0.0103924820342731,0.87037037037037,2.14159412404788,94
"[4]","{fk}","=>","{elm}",0.0122719734660033,0.776223776223776,2.62269109299367,111
"[5]","{pine}","=>","{z}",0.0133775566611388,0.557603686635945,2.63507071349118,121
"[6]","{eject}","=>","{cd}",0.0112769485903814,0.75,1.8454162132753,102
"[7]","{xdvi}","=>","{cd}",0.0108347153123273,0.942307692307692,2.31859985770486,98
"[8]","{cdl}","=>","{cd}",0.0102819237147595,1,2.46055495103373,93
"[9]","{lpq}","=>","{ls}",0.0111663902708679,0.706293706293706,2.26058972874259,101
"[10]","{lpq}","=>","{cd}",0.0108347153123273,0.685314685314685,1.68625444196717,98
"[11]","{psa}","=>","{X.}",0.0106135986733002,0.738461538461539,10.8080657206871,96
"[12]","{ghostview}","=>","{cd}",0.0119402985074627,0.931034482758621,2.29086150613485,108
"[13]","{X.dmsa15}","=>","{lp}",0.0103924820342731,0.839285714285714,45.1865433673469,94
"[14]","{lp}","=>","{X.dmsa15}",0.0103924820342731,0.55952380952381,45.1865433673469,94
"[15]","{X.dmsa15}","=>","{cd}",0.0123825317855169,1,2.46055495103373,112
"[16]","{biff}","=>","{elm}",0.01404090657822,0.894366197183099,3.02186860422904,127
"[17]","{biff}","=>","{ls}",0.0110558319513543,0.704225352112676,2.25396967794025,100
"[18]","{a.out}","=>","{ls}",0.012824765063571,0.729559748427673,2.3350558827064,116
"[19]","{a.out}","=>","{cd}",0.0174682144831399,0.993710691823899,2.44507976266245,158
"[20]","{ruptime}","=>","{ls}",0.0108347153123273,0.675862068965517,2.1631891060839,98
"[21]","{ruptime}","=>","{cd}",0.0109452736318408,0.682758620689655,1.67996510449889,99
"[22]","{dvips}","=>","{latex}",0.0117191818684356,0.848,45.1185882352941,106
"[23]","{latex}","=>","{dvips}",0.0117191818684356,0.623529411764706,45.1185882352941,106
"[24]","{dvips}","=>","{cd}",0.0134881149806523,0.976,2.40150163220892,122
"[25]","{unrm}","=>","{rm}",0.0100608070757324,0.875,5.49609375,91
"[26]","{unrm}","=>","{cd}",0.0108347153123273,0.942307692307692,2.31859985770486,98
"[27]","{X..}","=>","{cd}",0.0105030403537866,1,2.46055495103373,95
"[28]","{pushd}","=>","{vi}",0.0100608070757324,0.850467289719626,3.95296846634842,91
"[29]","{pushd}","=>","{ls}",0.0117191818684356,0.990654205607477,3.1707244478838,106
"[30]","{pushd}","=>","{cd}",0.0117191818684356,0.990654205607477,2.43755911036987,106
"[31]","{find}","=>","{cd}",0.010171365395246,0.978723404255319,2.40820271803301,92
"[32]","{df}","=>","{X.k}",0.0116086235489221,0.84,40.8483870967742,105
"[33]","{X.k}","=>","{df}",0.0116086235489221,0.564516129032258,40.8483870967742,105
"[34]","{df}","=>","{cd}",0.0111663902708679,0.808,1.98812840043526,101
"[35]","{cdn}","=>","{vi}",0.0103924820342731,0.676258992805755,3.14324901846252,94
"[36]","{cdn}","=>","{ls}",0.0150359314538419,0.97841726618705,3.13155844750951,136
"[37]","{cdn}","=>","{cd}",0.015257048092869,0.992805755395683,2.44285311685363,138
"[38]","{lp}","=>","{ls}",0.0119402985074627,0.642857142857143,2.05755232029117,108
"[39]","{lp}","=>","{cd}",0.0176893311221669,0.952380952380952,2.34338566765117,160
"[40]","{ftp}","=>","{ls}",0.0170259812050857,0.827956989247312,2.64998972673105,154
"[41]","{ftp}","=>","{cd}",0.0162520729684909,0.790322580645161,1.94463213872021,147
"[42]","{latex}","=>","{cd}",0.0181315644002211,0.964705882352941,2.37371183511489,164
"[43]","{X.nw}","=>","{emacs}",0.0238805970149254,1,13.5810810810811,216
"[44]","{X.nw}","=>","{ll}",0.0120508568269762,0.50462962962963,4.09360986547085,109
"[45]","{X.nw}","=>","{cd}",0.0132669983416252,0.555555555555556,1.36697497279652,120
"[46]","{X.d}","=>","{cd}",0.0132669983416252,0.875912408759124,2.15523061404415,120
"[47]","{who}","=>","{cd}",0.0120508568269762,0.536945812807882,1.32118467814127,109
"[48]","{matlab}","=>","{cd}",0.0200110558319514,0.841860465116279,2.07144393552142,181
"[49]","{X.rf}","=>","{rm}",0.01404090657822,1,6.28125,127
"[50]","{X.rf}","=>","{ls}",0.0112769485903814,0.803149606299213,2.57059030041627,102
"[51]","{X.rf}","=>","{cd}",0.0139303482587065,0.992125984251969,2.4411805026004,126
"[52]","{echo}","=>","{ll}",0.0106135986733002,0.662068965517241,5.37077470233493,96
"[53]","{echo}","=>","{vi}",0.0106135986733002,0.662068965517241,3.07729382996066,96
"[54]","{echo}","=>","{cd}",0.0129353233830846,0.806896551724138,1.98541330531687,117
"[55]","{lo}","=>","{elm}",0.0364842454394693,0.82089552238806,2.77362719462084,330
"[56]","{ps}","=>","{cd}",0.0142620232172471,0.589041095890411,1.44936798485549,129
"[57]","{netscape}","=>","{X..2}",0.0320619126589276,0.889570552147239,10.1979285730948,290
"[58]","{netscape}","=>","{cd}",0.0182421227197347,0.506134969325153,1.24537290466431,165
"[59]","{uptime}","=>","{ls}",0.0134881149806523,0.547085201793722,1.75102110765188,122
"[60]","{uptime}","=>","{cd}",0.0158098396904367,0.641255605381166,1.57784465469876,143
"[61]","{head}","=>","{rm}",0.0105030403537866,0.59375,3.7294921875,95
"[62]","{head}","=>","{vi}",0.0127142067440575,0.71875,3.34074704522097,115
"[63]","{head}","=>","{ls}",0.010171365395246,0.575,1.84036624203822,92
"[64]","{head}","=>","{cd}",0.0165837479270315,0.9375,2.30677026659412,150
"[65]","{X.v}","=>","{quota}",0.0106135986733002,0.518918918918919,13.1106749207308,96
"[66]","{X.v}","=>","{rm}",0.0120508568269762,0.589189189189189,3.70084459459459,109
"[67]","{X.v}","=>","{vi}",0.0112769485903814,0.551351351351351,2.56267881447738,102
"[68]","{X.v}","=>","{ls}",0.0162520729684909,0.794594594594595,2.54320881390945,147
"[69]","{X.v}","=>","{cd}",0.0173576561636263,0.848648648648649,2.08814663412052,157
"[70]","{xlock}","=>","{ll}",0.0122719734660033,0.54950495049505,4.45764329796208,111
"[71]","{xlock}","=>","{cd}",0.0161415146489773,0.722772277227723,1.7784209052026,146
"[72]","{ct}","=>","{k}",0.0117191818684356,0.63855421686747,14.0187448824424,106
"[73]","{ct}","=>","{z}",0.0127142067440575,0.692771084337349,3.27383200513653,115
"[74]","{ct}","=>","{ll}",0.0174682144831399,0.951807228915663,7.7211626776163,158
"[75]","{ct}","=>","{cd}",0.0158098396904367,0.86144578313253,2.11963468673388,143
"[76]","{ln}","=>","{X.s}",0.0141514648977336,0.927536231884058,32.5176946410516,128
"[77]","{ln}","=>","{ll}",0.0111663902708679,0.731884057971015,5.93712224605186,101
"[78]","{ln}","=>","{rm}",0.0108347153123273,0.710144927536232,4.46059782608696,98
"[79]","{ln}","=>","{cd}",0.0149253731343284,0.978260869565217,2.40706462601126,135
"[80]","{quota}","=>","{emacs}",0.0227750138197899,0.575418994413408,7.81481201872263,206
"[81]","{quota}","=>","{ls}",0.0223327805417358,0.564245810055866,1.80594598441448,202
"[82]","{quota}","=>","{cd}",0.0216694306246545,0.547486033519553,1.34711947039836,196
"[83]","{X.k}","=>","{ls}",0.0103924820342731,0.505376344086022,1.61752619683583,94
"[84]","{X.k}","=>","{cd}",0.0168048645660586,0.817204301075269,2.01077608901681,152
"[85]","{diff}","=>","{rm}",0.0127142067440575,0.635359116022099,3.99084944751381,115
"[86]","{diff}","=>","{vi}",0.0141514648977336,0.707182320441989,3.28698051819003,128
"[87]","{diff}","=>","{ls}",0.015257048092869,0.762430939226519,2.44026463032692,138
"[88]","{diff}","=>","{cd}",0.0195688225538972,0.977900552486188,2.40617804603851,177
"[89]","{setenv}","=>","{cd}",0.0193477059148701,0.603448275862069,1.48481764286518,175
"[90]","{jobs}","=>","{fg}",0.0116086235489221,0.527638190954774,6.38033079837691,105
"[91]","{jobs}","=>","{elm}",0.0130458817025981,0.592964824120603,2.0034990041729,118
"[92]","{jobs}","=>","{vi}",0.0119402985074627,0.542713567839196,2.52253043222278,108
"[93]","{jobs}","=>","{ls}",0.0130458817025981,0.592964824120603,1.89786512178728,118
"[94]","{jobs}","=>","{cd}",0.0158098396904367,0.718592964824121,1.768137477376,143
"[95]","{less}","=>","{ls}",0.0192371475953566,0.828571428571429,2.65195632393085,174
"[96]","{less}","=>","{cd}",0.0214483139856274,0.923809523809524,2.27308409762164,194
"[97]","{which}","=>","{ll}",0.0109452736318408,0.521052631578947,4.22683502478168,99
"[98]","{which}","=>","{rm}",0.0106135986733002,0.505263157894737,3.17368421052632,96
"[99]","{which}","=>","{vi}",0.0111663902708679,0.531578947368421,2.47077676204901,101
"[100]","{which}","=>","{cd}",0.0180210060807076,0.857894736842105,2.11089714220262,163
"[101]","{md}","=>","{k}",0.0106135986733002,0.592592592592593,13.0097087378641,96
"[102]","{md}","=>","{mv}",0.0103924820342731,0.580246913580247,6.89662724485326,94
"[103]","{md}","=>","{ll}",0.0174682144831399,0.975308641975309,7.9118086696562,158
"[104]","{md}","=>","{cd}",0.0175787728026534,0.981481481481482,2.41498911860718,159
"[105]","{tail}","=>","{vi}",0.0137092316196794,0.582159624413146,2.70587554101588,124
"[106]","{tail}","=>","{ls}",0.0150359314538419,0.63849765258216,2.04359917466583,136
"[107]","{tail}","=>","{cd}",0.0220011055831951,0.934272300469484,2.29882833453386,199
"[108]","{tar}","=>","{X..5}",0.0109452736318408,0.523809523809524,16.6825955734406,99
"[109]","{tar}","=>","{X.}",0.0114980652294085,0.55026455026455,8.05362921867776,104
"[110]","{tar}","=>","{mv}",0.01404090657822,0.671957671957672,7.98667167261123,127
"[111]","{tar}","=>","{rm}",0.0163626312880044,0.783068783068783,4.91865079365079,148
"[112]","{tar}","=>","{vi}",0.0107241569928137,0.513227513227513,2.38547937160476,97
"[113]","{tar}","=>","{ls}",0.0126036484245439,0.603174603174603,1.93054291780406,114
"[114]","{tar}","=>","{cd}",0.0207849640685462,0.994708994708995,2.447536141769,188
"[115]","{wc}","=>","{X.}",0.0103924820342731,0.502673796791444,7.35709464721458,94
"[116]","{wc}","=>","{X.l}",0.012824765063571,0.620320855614973,6.69546794634539,116
"[117]","{wc}","=>","{ll}",0.0139303482587065,0.67379679144385,5.46591208843913,126
"[118]","{wc}","=>","{rm}",0.0111663902708679,0.540106951871658,3.39254679144385,101
"[119]","{wc}","=>","{vi}",0.0126036484245439,0.609625668449198,2.83353760078263,114
"[120]","{wc}","=>","{ls}",0.0103924820342731,0.502673796791444,1.60887632412548,94
"[121]","{wc}","=>","{cd}",0.0202321724709784,0.978609625668449,2.40792275956777,183
"[122]","{X.f}","=>","{rm}",0.0149253731343284,0.572033898305085,3.59308792372881,135
"[123]","{X.f}","=>","{vi}",0.0139303482587065,0.533898305084746,2.48155712717961,126
"[124]","{X.f}","=>","{cd}",0.0204532891100055,0.783898305084746,1.92882485568322,185
"[125]","{mkdir}","=>","{mv}",0.0173576561636263,0.682608695652174,8.11326629720619,157
"[126]","{mkdir}","=>","{rm}",0.0145936981757877,0.573913043478261,3.60489130434783,132
"[127]","{mkdir}","=>","{vi}",0.0156992813709232,0.617391304347826,2.86963224451495,142
"[128]","{mkdir}","=>","{ls}",0.0233278054173577,0.917391304347826,2.9362364995846,211
"[129]","{mkdir}","=>","{cd}",0.0245439469320066,0.965217391304348,2.37497043099778,222
"[130]","{clear}","=>","{ls}",0.0267551133222775,0.529540481400438,1.69486682741223,242
"[131]","{clear}","=>","{cd}",0.0273079049198452,0.540481400437637,1.32988418578847,247
"[132]","{findall}","=>","{z}",0.0193477059148701,0.575657894736842,2.72038958092724,175
"[133]","{findall}","=>","{ll}",0.021558872305141,0.641447368421053,5.20349008732594,195
"[134]","{findall}","=>","{cd}",0.0214483139856274,0.638157894736842,1.570222567436,194
"[135]","{dir}","=>","{ll}",0.0169154228855721,0.533101045296167,4.32457305354604,153
"[136]","{dir}","=>","{vi}",0.0193477059148701,0.609756097560976,2.83414383475798,175
"[137]","{dir}","=>","{cd}",0.0299613045881703,0.944250871080139,2.32338115585415,271
"[138]","{X..3}","=>","{ll}",0.0143725815367606,0.548523206751055,4.44967928705228,130
"[139]","{X..3}","=>","{rm}",0.0143725815367606,0.548523206751055,3.44541139240506,130
"[140]","{X..3}","=>","{ls}",0.0144831398562742,0.552742616033755,1.76912843666855,131
"[141]","{X..3}","=>","{cd}",0.0234383637368712,0.894514767932489,2.20100274100908,212
"[142]","{date}","=>","{elm}",0.0222222222222222,0.575931232091691,1.94594620630158,201
"[143]","{date}","=>","{vi}",0.0205638474295191,0.532951289398281,2.4771554021621,186
"[144]","{date}","=>","{ls}",0.0238805970149254,0.6189111747851,1.98090997025167,216
"[145]","{date}","=>","{cd}",0.0247650635710337,0.641833810888252,1.57926736112194,224
"[146]","{chmod}","=>","{mv}",0.0158098396904367,0.583673469387755,6.93735417951675,143
"[147]","{chmod}","=>","{ll}",0.0154781647318961,0.571428571428571,4.63549007046765,140
"[148]","{chmod}","=>","{rm}",0.0155887230514096,0.575510204081633,3.61492346938775,141
"[149]","{chmod}","=>","{vi}",0.0174682144831399,0.644897959183673,2.99748306311219,158
"[150]","{chmod}","=>","{ls}",0.0160309563294638,0.591836734693878,1.89425451709346,145
"[151]","{chmod}","=>","{cd}",0.0253178551686014,0.93469387755102,2.29986564810908,229
"[152]","{pwd}","=>","{rm}",0.0184632393587617,0.504531722054381,3.16908987915408,167
"[153]","{pwd}","=>","{vi}",0.0225538971807629,0.61631419939577,2.86462586512577,204
"[154]","{pwd}","=>","{ls}",0.0244333886124931,0.667673716012085,2.13698116112148,221
"[155]","{pwd}","=>","{cd}",0.0330569375345495,0.903323262839879,2.22267652676461,299
"[156]","{X.s}","=>","{ll}",0.0184632393587617,0.647286821705426,5.25086036083012,167
"[157]","{X.s}","=>","{rm}",0.0183526810392482,0.643410852713178,4.04142441860465,166
"[158]","{X.s}","=>","{vi}",0.0166943062465451,0.585271317829457,2.72033867922273,151
"[159]","{X.s}","=>","{ls}",0.0144831398562742,0.507751937984496,1.62512961042808,131
"[160]","{X.s}","=>","{cd}",0.0262023217247098,0.918604651162791,2.26027722246122,237
"[161]","{emacs}","=>","{cd}",0.0374792703150912,0.509009009009009,1.25244463723789,339
"[162]","{make}","=>","{rm}",0.0235489220563847,0.674050632911392,4.23388053797468,213
"[163]","{make}","=>","{vi}",0.0228855721393035,0.655063291139241,3.04473148425202,207
"[164]","{make}","=>","{ls}",0.0218905472636816,0.626582278481013,2.0054623881319,198
"[165]","{make}","=>","{cd}",0.0344941956882255,0.987341772151899,2.42940868583077,312
"[166]","{f}","=>","{cd}",0.0271973466003317,0.527896995708155,1.29891956642553,246
"[167]","{X..5}","=>","{m}",0.016473189607518,0.524647887323944,5.91700765691405,149
"[168]","{X..5}","=>","{mv}",0.0166943062465451,0.53169014084507,6.31949714053044,151
"[169]","{X..5}","=>","{ll}",0.024212271973466,0.77112676056338,6.25546327291101,219
"[170]","{X..5}","=>","{rm}",0.0200110558319514,0.637323943661972,4.00319102112676,181
"[171]","{X..5}","=>","{vi}",0.0172470978441128,0.549295774647887,2.55312450241014,156
"[172]","{X..5}","=>","{cd}",0.0310668877833057,0.98943661971831,2.43456317338197,281
"[173]","{mail}","=>","{elm}",0.0469872857932559,0.595238095238095,2.01117989220343,425
"[174]","{mail}","=>","{ls}",0.0444444444444444,0.563025210084034,1.8020392870524,402
"[175]","{cat}","=>","{ll}",0.0249861802100608,0.60427807486631,4.90196877772715,226
"[176]","{cat}","=>","{rm}",0.0225538971807629,0.545454545454545,3.42613636363636,204
"[177]","{cat}","=>","{vi}",0.0245439469320066,0.593582887700535,2.75897082181466,222
"[178]","{cat}","=>","{ls}",0.0211166390270868,0.510695187165775,1.63454988248919,191
"[179]","{cat}","=>","{cd}",0.0371475953565506,0.898395721925134,2.21055204157041,336
"[180]","{k}","=>","{m}",0.0237700386954118,0.521844660194175,5.88539270755151,215
"[181]","{k}","=>","{z}",0.0306246545052515,0.672330097087379,3.17723392275619,277
"[182]","{k}","=>","{ll}",0.0388059701492537,0.851941747572815,6.91104314510862,351
"[183]","{k}","=>","{cd}",0.0405749032614704,0.890776699029126,2.1918050170616,367
"[184]","{X..1}","=>","{ll}",0.0232172470978441,0.521091811414392,4.22715285582348,210
"[185]","{X..1}","=>","{rm}",0.0311774461028192,0.699751861042184,4.39531637717122,282
"[186]","{X..1}","=>","{vi}",0.0275290215588723,0.617866004962779,2.87183865102176,249
