"","lhs","","rhs","support","confidence","lift","count"
"[1]","{cd,lp}","=>","{X.dmsa15}",0.0103924820342731,0.5875,47.4458705357143,94
"[2]","{cd,latex}","=>","{dvips}",0.011387506909895,0.628048780487805,45.4456097560976,103
"[3]","{X.dmsa15}","=>","{lp}",0.0103924820342731,0.839285714285714,45.1865433673469,94
"[4]","{cd,X.dmsa15}","=>","{lp}",0.0103924820342731,0.839285714285714,45.1865433673469,94
"[5]","{lp}","=>","{X.dmsa15}",0.0103924820342731,0.55952380952381,45.1865433673469,94
"[6]","{dvips}","=>","{latex}",0.0117191818684356,0.848,45.1185882352941,106
"[7]","{latex}","=>","{dvips}",0.0117191818684356,0.623529411764706,45.1185882352941,106
"[8]","{cd,dvips}","=>","{latex}",0.011387506909895,0.844262295081967,44.9197203471553,103
"[9]","{emacs,findall}","=>","{X.nw}",0.010171365395246,1,41.875,92
"[10]","{X.k}","=>","{df}",0.0116086235489221,0.564516129032258,40.8483870967742,105
"[11]","{df}","=>","{X.k}",0.0116086235489221,0.84,40.8483870967742,105
"[12]","{emacs,z}","=>","{X.nw}",0.0112769485903814,0.910714285714286,38.1361607142857,102
"[13]","{cd,rm,X.s}","=>","{ln}",0.0103924820342731,0.56969696969697,37.3399209486166,94
"[14]","{rm,X.s}","=>","{ln}",0.0103924820342731,0.566265060240964,37.1149816657936,94
"[15]","{cd,ll,X.s}","=>","{ln}",0.010171365395246,0.557575757575758,36.5454545454545,92
"[16]","{ll,X.s}","=>","{ln}",0.010171365395246,0.550898203592814,36.1077844311377,92
"[17]","{cd,X.s}","=>","{ln}",0.0138197899391929,0.527426160337553,34.5693450742983,125
"[18]","{rm,ln}","=>","{X.s}",0.0103924820342731,0.959183673469388,33.6271950640721,94
"[19]","{cd,rm,ln}","=>","{X.s}",0.0103924820342731,0.959183673469388,33.6271950640721,94
"[20]","{ln}","=>","{X.s}",0.0141514648977336,0.927536231884058,32.5176946410516,128
"[21]","{cd,ln}","=>","{X.s}",0.0138197899391929,0.925925925925926,32.4612403100775,125
"[22]","{ll,ln}","=>","{X.s}",0.010171365395246,0.910891089108911,31.9341469030624,92
"[23]","{cd,ll,ln}","=>","{X.s}",0.010171365395246,0.910891089108911,31.9341469030624,92
"[24]","{emacs,ll}","=>","{X.nw}",0.0120508568269762,0.660606060606061,27.6628787878788,109
"[25]","{cd,emacs,ll}","=>","{X.nw}",0.0109452736318408,0.638709677419355,26.7459677419355,99
"[26]","{ll,make}","=>","{X..5}",0.0100608070757324,0.590909090909091,18.8196222791293,91
"[27]","{cd,ll,make}","=>","{X..5}",0.0100608070757324,0.590909090909091,18.8196222791293,91
"[28]","{cd,rm,ll,m}","=>","{X..5}",0.0103924820342731,0.528089887640449,16.8189191327742,94
"[29]","{cd,tar}","=>","{X..5}",0.0109452736318408,0.526595744680851,16.7713327839377,99
"[30]","{cd,rm,ll,z}","=>","{k}",0.0107241569928137,0.763779527559055,16.7679267640089,97
"[31]","{tar}","=>","{X..5}",0.0109452736318408,0.523809523809524,16.6825955734406,99
"[32]","{rm,ll,m}","=>","{X..5}",0.0103924820342731,0.519337016574586,16.5401525173138,94
"[33]","{man,cd,ll,m}","=>","{k}",0.0102819237147595,0.75,16.4654126213592,93
"[34]","{man,ll,m}","=>","{k}",0.0103924820342731,0.740157480314961,16.2493310908952,94
"[35]","{rm,ll,z}","=>","{k}",0.0109452736318408,0.738805970149254,16.2196601941748,99
"[36]","{cd,ll,ct}","=>","{k}",0.0111663902708679,0.726618705035971,15.9521023957533,101
"[37]","{man,cd,m}","=>","{k}",0.0102819237147595,0.7265625,15.9508684769417,93
"[38]","{ll,f}","=>","{findall}",0.0102819237147595,0.528409090909091,15.7219086423445,93
"[39]","{man,m}","=>","{k}",0.0105030403537866,0.714285714285714,15.6813453536755,95
"[40]","{cd,ct}","=>","{k}",0.0112769485903814,0.713286713286713,15.6594134021319,102
"[41]","{cd,ll,z,m}","=>","{k}",0.0150359314538419,0.693877551020408,15.233306914999,136
"[42]","{ll,z,m}","=>","{k}",0.0154781647318961,0.693069306930693,15.2155628184178,140
"[43]","{cd,ll,findall}","=>","{k}",0.0134881149806523,0.67032967032967,14.716339485757,122
"[44]","{ll,ct}","=>","{k}",0.0116086235489221,0.664556962025316,14.5896061201917,105
"[45]","{cd,findall}","=>","{k}",0.0141514648977336,0.65979381443299,14.4850365328796,128
"[46]","{ll,X..5,m}","=>","{k}",0.0102819237147595,0.654929577464789,14.3782476411869,93
"[47]","{cd,ll,X..5,m}","=>","{k}",0.0102819237147595,0.654929577464789,14.3782476411869,93
"[48]","{vi,cd,ll,m}","=>","{k}",0.0127142067440575,0.653409090909091,14.3448670564872,115
"[49]","{ll,findall}","=>","{k}",0.01404090657822,0.651282051282051,14.2981702763256,127
"[50]","{vi,ll,m}","=>","{k}",0.0129353233830846,0.65,14.2700242718447,117
"[51]","{vi,cd,ll,z}","=>","{k}",0.0108347153123273,0.649006622516556,14.2482157783064,98
"[52]","{rm,ll,m}","=>","{k}",0.012824765063571,0.640883977900553,14.0698921847342,116
"[53]","{cd,rm,ll,m}","=>","{k}",0.0126036484245439,0.640449438202247,14.0603523508236,114
"[54]","{ct}","=>","{k}",0.0117191818684356,0.63855421686747,14.0187448824424,106
"[55]","{cd,ll,f}","=>","{k}",0.0114980652294085,0.634146341463415,13.9219748993606,104
"[56]","{vi,ll,z}","=>","{k}",0.0110558319513543,0.628930817610063,13.807473896318,100
"[57]","{X..5,m}","=>","{k}",0.0102819237147595,0.624161073825503,13.7027594969701,93
"[58]","{cd,X..5,m}","=>","{k}",0.0102819237147595,0.624161073825503,13.7027594969701,93
"[59]","{ll,f}","=>","{k}",0.0120508568269762,0.619318181818182,13.5964392100618,109
"[60]","{X.nw}","=>","{emacs}",0.0238805970149254,1,13.5810810810811,216
"[61]","{X.nw,findall}","=>","{emacs}",0.010171365395246,1,13.5810810810811,92
"[62]","{z,X.nw}","=>","{emacs}",0.0112769485903814,1,13.5810810810811,102
"[63]","{ll,X.nw}","=>","{emacs}",0.0120508568269762,1,13.5810810810811,109
"[64]","{cd,X.nw}","=>","{emacs}",0.0132669983416252,1,13.5810810810811,120
"[65]","{cd,ll,X.nw}","=>","{emacs}",0.0109452736318408,1,13.5810810810811,99
"[66]","{cd,ll,md}","=>","{k}",0.0105030403537866,0.612903225806452,13.4556060131538,95
"[67]","{cd,z,m}","=>","{k}",0.0151464897733554,0.608888888888889,13.3674757281553,137
"[68]","{vi,cd,m}","=>","{k}",0.0127142067440575,0.608465608465608,13.3581830790569,115
"[69]","{ll,md}","=>","{k}",0.0106135986733002,0.607594936708861,13.3390684527467,96
"[70]","{cd,md}","=>","{k}",0.0105030403537866,0.59748427672956,13.1171002015021,95
"[71]","{X.v}","=>","{quota}",0.0106135986733002,0.518918918918919,13.1106749207308,96
"[72]","{cd,ll,m}","=>","{k}",0.0227750138197899,0.595375722543353,13.0708092485549,206
"[73]","{md}","=>","{k}",0.0106135986733002,0.592592592592593,13.0097087378641,96
"[74]","{ll,m}","=>","{k}",0.0232172470978441,0.584958217270195,12.8421045514779,210
"[75]","{cd,ll,z}","=>","{k}",0.0252072968490879,0.575757575757576,12.6401147396293,228
"[76]","{vi,m}","=>","{k}",0.0130458817025981,0.564593301435407,12.3950155618526,118
"[77]","{ll,X..5}","=>","{k}",0.0135986733001658,0.561643835616438,12.33026333289,123
"[78]","{cd,ll,X..5}","=>","{k}",0.0135986733001658,0.561643835616438,12.33026333289,123
"[79]","{elm,f}","=>","{lo}",0.0112769485903814,0.542553191489362,12.2074468085106,102
"[80]","{ll,z}","=>","{k}",0.0258706467661692,0.554502369668246,12.1734804214789,234
"[81]","{cd,rm,z}","=>","{k}",0.0107241569928137,0.541899441340782,11.89679720128,97
"[82]","{cd,rm,m}","=>","{k}",0.0126036484245439,0.537735849056604,11.8053901813519,114
"[83]","{cd,ll,X.l}","=>","{k}",0.0137092316196794,0.52991452991453,11.6336818521285,124
"[84]","{vi,cd,z}","=>","{k}",0.0109452736318408,0.521052631578947,11.4391287685232,99
"[85]","{ll,X.l}","=>","{k}",0.0137092316196794,0.521008403361345,11.4381577873868,124
"[86]","{rm,m}","=>","{k}",0.012824765063571,0.520179372197309,11.4199573337977,116
"[87]","{rm,z}","=>","{k}",0.0110558319513543,0.505050505050505,11.0878199470433,100
"[88]","{psa}","=>","{X.}",0.0106135986733002,0.738461538461539,10.8080657206871,96
"[89]","{ls,cd,netscape}","=>","{X..2}",0.0107241569928137,0.923809523809524,10.5904399782727,97
"[90]","{cd,netscape}","=>","{X..2}",0.0166943062465451,0.915151515151515,10.4911856204632,151
"[91]","{ls,netscape}","=>","{X..2}",0.0121614151464898,0.901639344262295,10.3362837374556,110
"[92]","{ls,mkdir,cd,rm}","=>","{mv}",0.0116086235489221,0.860655737704918,10.2294758837595,105
"[93]","{netscape}","=>","{X..2}",0.0320619126589276,0.889570552147239,10.1979285730948,290
"[94]","{ls,mkdir,rm}","=>","{mv}",0.0118297401879491,0.856,10.1741392904074,107
"[95]","{mkdir,cd,rm}","=>","{mv}",0.0121614151464898,0.852713178294574,10.1350731901109,110
"[96]","{mkdir,rm}","=>","{mv}",0.0123825317855169,0.848484848484849,10.0848166288377,112
"[97]","{exit,grep}","=>","{X.}",0.0109452736318408,0.630573248407643,9.22902108713128,99
"[98]","{ls,vi,mkdir,cd}","=>","{mv}",0.0105030403537866,0.772357723577236,9.17999423095414,95
"[99]","{ls,vi,mkdir}","=>","{mv}",0.0107241569928137,0.763779527559055,9.07803656605999,97
"[100]","{vi,mkdir,cd}","=>","{mv}",0.011387506909895,0.751824817518248,8.93594674698102,103
"[101]","{rm,tar}","=>","{mv}",0.0121614151464898,0.743243243243243,8.83394892921831,110
"[102]","{cd,rm,tar}","=>","{mv}",0.0121614151464898,0.743243243243243,8.83394892921831,110
"[103]","{man,cd,ll,k}","=>","{m}",0.0102819237147595,0.781512605042017,8.81394203566713,93
"[104]","{vi,mkdir}","=>","{mv}",0.0116086235489221,0.73943661971831,8.78870463252577,105
"[105]","{man,ll,k}","=>","{m}",0.0103924820342731,0.776859504132231,8.76146410832423,94
"[106]","{man,cd,k}","=>","{m}",0.0102819237147595,0.775,8.74049251870324,93
"[107]","{man,k}","=>","{m}",0.0105030403537866,0.76,8.5713216957606,95
"[108]","{vi,cd,rm,mv,ll}","=>","{cp}",0.0100608070757324,0.645390070921986,8.55946215760904,91
"[109]","{grep,X.l}","=>","{X.}",0.0110558319513543,0.584795321637427,8.55901890648952,100
"[110]","{vi,rm,mv,ll}","=>","{cp}",0.010171365395246,0.643356643356643,8.53249389906281,92
