"","lhs","","rhs","support","confidence","lift","count"
"[1]","{ls}","=>","{cd}",0.2595909342178,0.830856334041047,2.04436766632244,2348
"[2]","{cd}","=>","{ls}",0.2595909342178,0.638737758433079,2.04436766632244,2348
"[3]","{vi}","=>","{cd}",0.189054726368159,0.878725590955807,2.16215260342635,1710
"[4]","{vi}","=>","{ls}",0.147484798231067,0.685508735868448,2.1940645845471,1334
"[5]","{rm}","=>","{cd}",0.139303482587065,0.875,2.15298558215452,1260
"[6]","{ls,vi}","=>","{cd}",0.135433941404091,0.918290854572714,2.25950510870789,1225
"[7]","{vi,cd}","=>","{ls}",0.135433941404091,0.716374269005848,2.29285395016203,1225
"[8]","{ls,cd}","=>","{vi}",0.135433941404091,0.521720613287905,2.42495526577035,1225
"[9]","{rm}","=>","{ls}",0.116749585406302,0.733333333333333,2.34713375796178,1056
"[10]","{ll}","=>","{cd}",0.116196793808734,0.942600896860987,2.31932130362014,1051
"[11]","{ls,rm}","=>","{cd}",0.103040353786622,0.882575757575758,2.17162614996538,932
"[12]","{cd,rm}","=>","{ls}",0.103040353786622,0.73968253968254,2.36745526235972,932
"[13]","{ls,exit}","=>","{cd}",0.0855721393034826,0.803738317757009,1.97764229709253,774
"[14]","{exit,cd}","=>","{ls}",0.0855721393034826,0.892733564013841,2.85731602494876,774
"[15]","{rm}","=>","{vi}",0.0825870646766169,0.51875,2.41114786742035,747
"[16]","{mv}","=>","{cd}",0.0800442233278054,0.95137976346912,2.34092218731724,724
"[17]","{ls,elm}","=>","{cd}",0.0769485903814262,0.719751809720786,1.77098887892397,696
"[18]","{elm,cd}","=>","{ls}",0.0769485903814262,0.783783783783784,2.5086073334481,696
"[19]","{vi,rm}","=>","{cd}",0.0761746821448314,0.92235609103079,2.26950784640193,689
"[20]","{cd,rm}","=>","{vi}",0.0761746821448314,0.546825396825397,2.54164219644692,689
"[21]","{X.l}","=>","{cd}",0.0739635157545605,0.798329355608592,1.96433324849829,669
"[22]","{more}","=>","{ls}",0.0735212824765064,0.841772151898734,2.69420704668225,665
"[23]","{cp}","=>","{cd}",0.0733001658374793,0.972140762463343,2.39200576618089,663
"[24]","{more}","=>","{cd}",0.0724156992813709,0.829113924050633,2.04008037079379,655
"[25]","{ls,more}","=>","{cd}",0.0672194582642344,0.914285714285714,2.24965024094513,608
"[26]","{more,cd}","=>","{ls}",0.0672194582642344,0.92824427480916,2.97097291778091,608
"[27]","{vi,elm}","=>","{cd}",0.0630182421227197,0.818965517241379,2.01510965817418,570
"[28]","{elm,cd}","=>","{vi}",0.0630182421227197,0.641891891891892,2.98351087469793,570
"[29]","{X..2}","=>","{cd}",0.0620232172470978,0.711026615969582,1.74952006024071,561
"[30]","{vi,rm}","=>","{ls}",0.0620232172470978,0.751004016064257,2.40369119791267,561
"[31]","{ls,rm}","=>","{vi}",0.0620232172470978,0.53125,2.46924781603289,561
"[32]","{mv}","=>","{ls}",0.0618021006080708,0.734559789750329,2.3510591996786,559
"[33]","{vi,elm}","=>","{ls}",0.0605859590934218,0.78735632183908,2.52004173072699,548
"[34]","{ls,elm}","=>","{vi}",0.0605859590934218,0.56670113753878,2.63402455757362,548
"[35]","{vi,exit}","=>","{cd}",0.0594803758982863,0.871961102106969,2.14550820689813,538
"[36]","{exit,cd}","=>","{vi}",0.0594803758982863,0.620530565167243,2.88422351589811,538
"[37]","{vi,exit}","=>","{ls}",0.0593698175787728,0.870340356564019,2.78564349791987,537
"[38]","{ls,exit}","=>","{vi}",0.0593698175787728,0.557632398753894,2.59187309698303,537
"[39]","{ls,mv}","=>","{cd}",0.0592592592592593,0.958855098389982,2.35931565966741,536
"[40]","{cd,mv}","=>","{ls}",0.0592592592592593,0.740331491712707,2.3695323222015,536
"[41]","{X.l}","=>","{ls}",0.057379767827529,0.619331742243437,1.98225605399571,519
"[42]","{ls,vi,rm}","=>","{cd}",0.0569375345494748,0.918003565062389,2.25879821708088,515
"[43]","{vi,cd,rm}","=>","{ls}",0.0569375345494748,0.747460087082729,2.39234836789217,515
"[44]","{ls,cd,rm}","=>","{vi}",0.0569375345494748,0.552575107296137,2.56836682707788,515
"[45]","{vi,ll}","=>","{cd}",0.0568269762299613,0.977186311787072,2.40442061755007,514
"[46]","{grep}","=>","{cd}",0.0553897180762852,0.822660098522167,2.02420037843662,501
"[47]","{fg}","=>","{elm}",0.054726368159204,0.661764705882353,2.23595882133204,495
"[48]","{ls,X.l}","=>","{cd}",0.0545052515201769,0.94990366088632,2.3372901557989,493
"[49]","{cd,X.l}","=>","{ls}",0.0545052515201769,0.736920777279522,2.35861586358573,493
"[50]","{ls,vi,exit}","=>","{cd}",0.0542841348811498,0.914338919925512,2.24978115634555,491
"[51]","{vi,exit,cd}","=>","{ls}",0.0542841348811498,0.912639405204461,2.92102739563848,491
"[52]","{ls,exit,cd}","=>","{vi}",0.0542841348811498,0.634366925064599,2.94853485981979,491
"[53]","{X.}","=>","{cd}",0.0541735765616363,0.792880258899676,1.95092544661251,490
"[54]","{fg}","=>","{cd}",0.0537313432835821,0.649732620320856,1.5987028157786,486
"[55]","{mv}","=>","{rm}",0.053510226644555,0.636005256241787,3.99490801576873,484
"[56]","{mv}","=>","{vi}",0.0527363184079602,0.626806833114323,2.91339558351442,477
"[57]","{cp}","=>","{ls}",0.0524046434494196,0.695014662756598,2.22448960531969,474
"[58]","{ls,vi,elm}","=>","{cd}",0.0520729684908789,0.85948905109489,2.11482004003082,471
"[59]","{vi,elm,cd}","=>","{ls}",0.0520729684908789,0.826315789473684,2.64473684210526,471
"[60]","{ls,elm,cd}","=>","{vi}",0.0520729684908789,0.676724137931034,3.1454110110926,471
"[61]","{rm,mv}","=>","{cd}",0.0517412935323383,0.966942148760331,2.37921429149543,468
"[62]","{cd,mv}","=>","{rm}",0.0517412935323383,0.646408839779006,4.06025552486188,468
"[63]","{cp}","=>","{vi}",0.0515201768933112,0.683284457478006,3.17590334937747,466
"[64]","{ls,cp}","=>","{cd}",0.0512990602542841,0.978902953586498,2.4086445090288,464
