@relation unix

@attribute pwd {True, False}
@attribute ls {True, False}
@attribute dir {True, False}
@attribute vi {True, False}
@attribute source {True, False}
@attribute exit {True, False}
@attribute mkdir {True, False}
@attribute elm {True, False}
@attribute man {True, False}
@attribute fg {True, False}
@attribute finger {True, False}
@attribute | {True, False}
@attribute more {True, False}
@attribute logout {True, False}
@attribute cd {True, False}
@attribute date {True, False}
@attribute emacs {True, False}
@attribute cat {True, False}
@attribute rm {True, False}
@attribute uptime {True, False}
@attribute ruptime {True, False}
@attribute grep {True, False}
@attribute talk {True, False}
@attribute netscape {True, False}
@attribute who {True, False}
@attribute r {True, False}
@attribute setenv {True, False}
@attribute wc {True, False}
@attribute mv {True, False}
@attribute ll {True, False}
@attribute ghostview {True, False}
@attribute lp {True, False}
@attribute lpq {True, False}
@attribute -d {True, False}
@attribute cp {True, False}
@attribute > {True, False}
@attribute diff {True, False}
@attribute rlogin {True, False}
@attribute ftp {True, False}
@attribute ps {True, False}
@attribute kill {True, False}
@attribute mail {True, False}
@attribute ping {True, False}
@attribute & {True, False}
@attribute -l {True, False}
@attribute ph {True, False}
@attribute chmod {True, False}
@attribute -f {True, False}
@attribute tar {True, False}
@attribute quota {True, False}
@attribute -v {True, False}
@attribute -rf {True, False}
@attribute f {True, False}
@attribute -k {True, False}
@attribute -s {True, False}
@attribute < {True, False}
@attribute which {True, False}
@attribute xlock {True, False}
@attribute less {True, False}
@attribute tail {True, False}
@attribute df {True, False}
@attribute make {True, False}
@attribute head {True, False}
@attribute - {True, False}
@attribute a.out {True, False}
@attribute ln {True, False}
@attribute exec {True, False}
@attribute telnet {True, False}
@attribute latex {True, False}
@attribute dvips {True, False}
@attribute z {True, False}
@attribute eject {True, False}
@attribute matlab {True, False}
@attribute lo {True, False}
@attribute jobs {True, False}
@attribute clear {True, False}
@attribute pine {True, False}
@attribute -dmsa15 {True, False}
@attribute md {True, False}
@attribute echo {True, False}
@attribute biff {True, False}
@attribute k {True, False}
@attribute m {True, False}
@attribute fk {True, False}
@attribute psa {True, False}
@attribute slirp {True, False}
@attribute cdn {True, False}
@attribute X {True, False}
@attribute ct {True, False}
@attribute newmail {True, False}
@attribute -nw {True, False}
@attribute findall {True, False}

@data
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
